relative,id.joana,cam.id,type,species,pop.me,accession,altitude,alt.type,side,type.gmk,tip.label,type.tree,mean.depth.wg.withzeros,seq.round,subsp,in.tree,in.tree.supp.balanced,in.main.text.tree,latitude,longitude,notes
erato,L3_CS004064,CS004064,eraCvlowE,erato,era.co.e.let,ERS4212870,63,low,east,CvlowE,,,5.48,BGI.round.3.18,lativitta,no,,,,,
erato,L3_CS004065,CS004065,eraCvlowE,erato,era.co.e.let,ERS4212871,63,low,east,CvlowE,,,5.87,BGI.round.3.18,lativitta,no,,,,,
erato,CS004067,CS004067,eraCvlowE,erato,era.co.e.let,ERS4212873,63,low,east,CvlowE,,,5.57,BGI.round.3.18,lativitta,no,,,,,
erato,CS005020,CS005020,eraCvlowE,erato,era.co.e.let,ERS4212882,86,low,east,CvlowE,,,5.58,BGI.round.3.18,lativitta,no,,,,,
erato,CS005031,CS005031,eraCvlowE,erato,era.co.e.let,ERS4212883,71,low,east,CvlowE,,,6.57,BGI.round.3.18,lativitta,no,,,,,
erato,MAC004050,MAC004050,eraCvlowE,erato,era.co.e.let,,40,low,east,CvlowE,era. low Col. E,erato.lowland,31.82,Novo.Kozak.18,reductimacula,no,yes,yes,,,
erato,MAC004051,MAC004051,eraCvlowE,erato,era.co.e.let,,40,low,east,CvlowE,,,32.08,Novo.Kozak.18,reductimacula,no,yes,,,,
erato,MAC004053,MAC004053,eraCvlowE,erato,era.co.e.let,,63,low,east,CvlowE,,,35.89,Novo.Kozak.18,reductimacula,no,yes,,,,
erato,MAC004054,MAC004054,eraCvlowE,erato,era.co.e.let,,63,low,east,CvlowE,,,32.42,Novo.Kozak.18,reductimacula,no,yes,,,,
erato,MAC004055,MAC004055,eraCvlowE,erato,era.co.e.let,,40,low,east,CvlowE,,,33.61,Novo.Kozak.18,reductimacula,no,yes,,,,
erato,15N192,15N192,eraCvlowW,erato,era.co.w.ped,,4,low,west,CvlowW,,,8.16,Curran.WG.17,venus,no,,,,,
erato,15N193,15N193,eraCvlowW,erato,era.co.w.ped,,4,low,west,CvlowW,,,8.22,Curran.WG.17,venus,no,,,,,
erato,15N194,15N194,eraCvlowW,erato,era.co.w.ped,,4,low,west,CvlowW,,,7.87,Curran.WG.17,venus,no,,,,,
