	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
1	0	0.0743528376016198	0.0434269326254431	0.048857416410686	0.0422174674280383	0.0292867570696307	0.0803400246602942	0.0453887248163076	0.0425452934495371	0.0539430552112331	0.0533919813218645	0.0371550454187437
2	0.0743528376016198	0	0.042432438326594	0.0624984952503476	0.0410908538401985	0.0554392092181549	0.0335603240888359	0.0535763083240465	0.0493197603951447	0.0591563675916437	0.0583298744425545	0.0483189688280187
3	0.0434269326254431	0.042432438326594	0	0.0474780687869643	0.0149036869667756	0.0230767184476902	0.0505921606198352	0.0175616620916192	0.0137551642962512	0.0252913979582898	0.0266705200327404	0.0156170058426781
4	0.048857416410686	0.0624984952503476	0.0474780687869643	0	0.0370288321545733	0.0454459250441419	0.0506225586951943	0.04875039992347	0.0508405615977061	0.0562334859540817	0.0496498059889326	0.0353164548319044
5	0.0422174674280383	0.0410908538401985	0.0149036869667756	0.0370288321545733	0	0.0233976999186257	0.0468571204752081	0.0195342812205786	0.0176827724504003	0.0287412723400919	0.0286680209686384	0.0149915295193802
6	0.0292867570696307	0.0554392092181549	0.0230767184476902	0.0454459250441419	0.0233976999186257	0	0.0593964213085939	0.0245408474282041	0.0222326961760933	0.0324944194267866	0.0337311406891644	0.0203354015093704
7	0.0803400246602942	0.0335603240888359	0.0505921606198352	0.0506225586951943	0.0468571204752081	0.0593964213085939	0	0.0605390290850133	0.056668722170919	0.0672855697344966	0.064767519279223	0.0510122024113655
8	0.0453887248163076	0.0535763083240465	0.0175616620916192	0.04875039992347	0.0195342812205786	0.0245408474282041	0.0605390290850133	0	0.0167077351447216	0.0286938596974124	0.0303436503801714	0.015111480785527
9	0.0425452934495371	0.0493197603951447	0.0137551642962512	0.0508405615977061	0.0176827724504003	0.0222326961760933	0.056668722170919	0.0167077351447216	0	0.015438887035619	0.025555835431427	0.0148370321723934
10	0.0539430552112331	0.0591563675916437	0.0252913979582898	0.0562334859540817	0.0287412723400919	0.0324944194267866	0.0672855697344966	0.0286938596974124	0.015438887035619	0	0.0359046255757984	0.025045178097553
11	0.0533919813218645	0.0583298744425545	0.0266705200327404	0.0496498059889326	0.0286680209686384	0.0337311406891644	0.064767519279223	0.0303436503801714	0.025555835431427	0.0359046255757984	0	0.0265314104909007
12	0.0371550454187437	0.0483189688280187	0.0156170058426781	0.0353164548319044	0.0149915295193802	0.0203354015093704	0.0510122024113655	0.015111480785527	0.0148370321723934	0.025045178097553	0.0265314104909007	0
