"column_label","ran.hdr.name","piNota.minus.piLativ.min"
"1","ran1.hdr.1",-0.0002161
"1","ran1.hdr.10",-0.000374649999999999
"1","ran1.hdr.11",-0.00020486
"1","ran1.hdr.12",-0.0008879
"1","ran1.hdr.13",-0.0010596
"1","ran1.hdr.14",-0.0000854700000000007
"1","ran1.hdr.15",-0.0134706
"1","ran1.hdr.16",-0.0004112
"1","ran1.hdr.17",-0.000288199999999999
"1","ran1.hdr.18",-0.000354199999999999
"1","ran1.hdr.19",-0.000382
"1","ran1.hdr.2",-0.000621999999999998
"1","ran1.hdr.20",-0.00035428
"1","ran1.hdr.21",-0.000686199999999998
"1","ran1.hdr.22",-0.000763300000000001
"1","ran1.hdr.23",-0.0003284
"1","ran1.hdr.24",0.000288400000000001
"1","ran1.hdr.25",-0.0014586
"1","ran1.hdr.26",-0.000454400000000001
"1","ran1.hdr.27",-0.00032068
"1","ran1.hdr.28",-0.00029545
"1","ran1.hdr.29",-0.000413999999999999
"1","ran1.hdr.3",-0.000333
"1","ran1.hdr.30",0.0000461000000000003
"1","ran1.hdr.31",-0.00031339
"1","ran1.hdr.32",0.000155800000000001
"1","ran1.hdr.33",0.000035033
"1","ran1.hdr.34",-0.000306500000000001
"1","ran1.hdr.35",0.000271899999999999
"1","ran1.hdr.36",-0.000409099999999999
"1","ran1.hdr.37",-0.0034946
"1","ran1.hdr.38",0.0000670599999999999
"1","ran1.hdr.39",0.0000184400000000002
"1","ran1.hdr.4",-0.00143173
"1","ran1.hdr.40",-0.0001115
"1","ran1.hdr.41",-0.00029242
"1","ran1.hdr.42",-0.0012186
"1","ran1.hdr.43",-0.000352100000000001
"1","ran1.hdr.44",-0.0023505
"1","ran1.hdr.45",-0.0002167
"1","ran1.hdr.46",-0.00081
"1","ran1.hdr.47",-0.0013738
"1","ran1.hdr.48",-0.000735400000000001
"1","ran1.hdr.49",-0.0034509
"1","ran1.hdr.5",-0.0027056
"1","ran1.hdr.50",-0.0022371
"1","ran1.hdr.51",-0.000392
"1","ran1.hdr.52",-0.0024639
"1","ran1.hdr.53",-0.0005222
"1","ran1.hdr.54",0.0000833999999999991
"1","ran1.hdr.55",0.0000792999999999992
"1","ran1.hdr.56",-0.000231500000000003
"1","ran1.hdr.57",-0.000643990000000001
"1","ran1.hdr.58",-0.000568100000000002
"1","ran1.hdr.59",-0.0007335
"1","ran1.hdr.6",-0.0037447
"1","ran1.hdr.60",0.0003353
"1","ran1.hdr.61",0.00024531
"1","ran1.hdr.62",-0.000121599999999999
"1","ran1.hdr.63",-0.000268299999999999
"1","ran1.hdr.64",NA
"1","ran1.hdr.65",-0.000154400000000002
"1","ran1.hdr.66",-0.000792399999999999
"1","ran1.hdr.67",0.0000251000000000001
"1","ran1.hdr.68",-0.000268999999999998
"1","ran1.hdr.69",-0.000201800000000002
"1","ran1.hdr.7",-0.0052846
"1","ran1.hdr.70",-0.0006
"1","ran1.hdr.71",-0.000890599999999998
"1","ran1.hdr.72",-0.0013741
"1","ran1.hdr.73",-0.000871399999999998
"1","ran1.hdr.74",-0.0005749
"1","ran1.hdr.75",-0.0011554
"1","ran1.hdr.76",-0.00096858
"1","ran1.hdr.77",-0.000710300000000001
"1","ran1.hdr.78",-0.0006976
"1","ran1.hdr.8",0.000186599999999999
"1","ran1.hdr.9",0.000257960000000001
"2","ran2.hdr.1",-0.0002114
"2","ran2.hdr.10",-0.000602800000000001
"2","ran2.hdr.11",-0.00021846
"2","ran2.hdr.12",-0.000482460000000001
"2","ran2.hdr.13",-0.00012632
"2","ran2.hdr.14",-0.0002419
"2","ran2.hdr.15",-0.0011382
"2","ran2.hdr.16",-0.000446700000000001
"2","ran2.hdr.17",-0.000808199999999999
"2","ran2.hdr.18",-0.000539240000000002
"2","ran2.hdr.19",-0.000506029999999999
"2","ran2.hdr.2",0.000000199999999998812
"2","ran2.hdr.20",-0.0002322
"2","ran2.hdr.21",-0.0009639
"2","ran2.hdr.22",-0.0075695
"2","ran2.hdr.23",0.000588000000000002
"2","ran2.hdr.24",-0.000846699999999999
"2","ran2.hdr.25",-0.0003534
"2","ran2.hdr.26",-0.0001654
"2","ran2.hdr.27",-0.0000759999999999997
"2","ran2.hdr.28",0.000095399999999999
"2","ran2.hdr.29",-0.00031138
"2","ran2.hdr.3",-0.0021526
"2","ran2.hdr.30",-0.0000945300000000007
"2","ran2.hdr.31",-0.00069205
"2","ran2.hdr.32",-0.0023372
"2","ran2.hdr.33",0.00000920000000000087
"2","ran2.hdr.34",-0.000359199999999999
"2","ran2.hdr.35",-0.000730600000000001
"2","ran2.hdr.36",-0.000171499999999998
"2","ran2.hdr.37",-0.000830900000000002
"2","ran2.hdr.38",0.0000979999999999991
"2","ran2.hdr.39",-0.000804199999999998
"2","ran2.hdr.4",-0.001681
"2","ran2.hdr.40",-0.000968999999999999
"2","ran2.hdr.41",-0.0000700600000000003
"2","ran2.hdr.42",0.00000510000000000094
"2","ran2.hdr.43",-0.00029242
"2","ran2.hdr.44",-0.000975
"2","ran2.hdr.45",0.0000540300000000001
"2","ran2.hdr.46",-0.0001922
"2","ran2.hdr.47",0.000856300000000001
"2","ran2.hdr.48",-0.000032299999999999
"2","ran2.hdr.49",-0.0005222
"2","ran2.hdr.5",-0.00168994
"2","ran2.hdr.50",-0.0015804
"2","ran2.hdr.51",-0.000773900000000001
"2","ran2.hdr.52",0.0000198999999999998
"2","ran2.hdr.53",-0.00050929
"2","ran2.hdr.54",-0.000125780000000001
"2","ran2.hdr.55",-0.0040008
