branch	branch_descendants	Outgroup	hermathena	telhighE	hortense	himHE	eraChighW	clyEhighW	clyEhighE	eraCvlowW	eraEvlowE	eraCvlowE	eraEhighE	eraChighE	eraEvlowW	eraEhighW
b2	hermathena,himHE,eraEvlowE,eraCvlowE,eraEhighE,eraChighE,eraChighW,eraCvlowW,eraEvlowW,eraEhighW	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b3	telhighE,hortense,clyEhighW,clyEhighE	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b4	hermathena	nan	nan	0.0173896	0	nan	nan	0	0	nan	nan	nan	nan	nan	nan	nan
b5	himHE,eraEvlowE,eraCvlowE,eraEhighE,eraChighE,eraChighW,eraCvlowW,eraEvlowW,eraEhighW	nan	nan	0	0	nan	nan	0	0	nan	nan	nan	nan	nan	nan	nan
b6	telhighE	nan	0	nan	nan	0	0	nan	nan	0	0	0	0	0	0	0
b7	hortense,clyEhighW,clyEhighE	nan	0	nan	nan	0	0.00850184	nan	nan	0.00825149	0	0	0	0	0.00801181	0.00860245
b8	himHE,eraEvlowE,eraCvlowE,eraEhighE,eraChighE	nan	0.0101253	0	0	nan	nan	0	0	nan	nan	nan	nan	nan	nan	nan
b9	eraChighW,eraCvlowW,eraEvlowW,eraEhighW	nan	0	0.0259502	0.0307482	nan	nan	0.0405554	0.03896	nan	nan	nan	nan	nan	nan	nan
b10	clyEhighW,clyEhighE	nan	0	0	nan	0.0107587	0.012375	nan	nan	0.0118372	0.0121578	0.0119906	0.0130178	0.0111485	0.0121362	0.0124486
b11	hortense	nan	0	0	nan	0	0	nan	nan	0	0	0	0	0	0	0
b12	eraEvlowE,eraCvlowE,eraEhighE,eraChighE	nan	0	0	0	nan	0	0	0	0	nan	nan	nan	nan	0	0
b13	himHE	nan	0	0.0174536	0.0144574	nan	0	0.0254936	0.0251574	0	nan	nan	nan	nan	0	0
b14	eraChighW	nan	0	0	0	0.00586085	nan	0	0	nan	0.0434956	0.0483861	0.0448354	0.034995	nan	nan
b15	eraCvlowW,eraEvlowW,eraEhighW	nan	0	0	0	0	nan	0	0	nan	0	0	0	0	nan	nan
b16	clyEhighW	nan	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0
b17	clyEhighE	nan	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0
b18	eraEvlowE,eraCvlowE	nan	0	0	0	0	0	0	0	0	nan	nan	nan	nan	0	0
b19	eraEhighE,eraChighE	nan	0	0	0	0	0	0	0	0	nan	nan	nan	nan	0	0
b20	eraCvlowW	nan	0	0	0	0.0109102	0	0	0	nan	0.0839173	0.0881588	0.0822628	0.0655402	nan	nan
b21	eraEvlowW,eraEhighW	nan	0	0.01075	0.00846402	0	0	0.0111614	0.0109529	nan	0	0	0	0	nan	nan
b22	eraEvlowE	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0
b23	eraCvlowE	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0
b24	eraEhighE	nan	0	0	0	0	0	0	0	0	0.165528	0.130863	nan	nan	0	0
b25	eraChighE	nan	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0
b26	eraEvlowW	nan	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan
b27	eraEhighW	nan	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan
