P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
eraEhighW	eraCvlowW	eraCvlowE	0.0236843	11.4565	nan	0.0887598	75773.2	39557.6	37727.2
eraCvlowE	eraEvlowE	eraCvlowW	0.00208244	0.608109	0.271558	0.00476823	62695.8	47230.2	47033.9
eraEvlowW	eraCvlowW	eraCvlowE	0.0232969	10.7966	nan	0.0875579	75771.6	39533.1	37733
eraCvlowW	eraCvlowE	hermathena	0.0154617	4.96892	3.36627e-07	0.0148637	69404.4	33943.1	32909.4
himHE	eraCvlowE	eraCvlowW	0.017163	4.25534	1.04364e-05	0.0397871	57525.5	48237.3	46609.4
eraCvlowE	eraCvlowW	hortense	0.0325483	10.7224	nan	0.0306131	74683.5	21906.4	20525.3
eraCvlowE	eraCvlowW	telhighE	0.024985	7.25316	2.03585e-13	0.0259395	81573.8	24186.3	23007.2
eraCvlowE	eraEhighE	eraEhighW	0.00834981	3.18435	0.000725402	0.0166731	64457.9	47374	46589.5
eraEvlowE	eraEhighE	eraCvlowE	0.00393069	0.84795	0.198233	0.105861	45470.1	44999.7	44647.4
eraCvlowE	eraEhighE	eraEvlowW	0.00839326	3.45844	0.000271656	0.0168137	64414.7	47365.5	46577
eraEhighE	eraCvlowE	hermathena	0.00371406	2.25026	0.0122163	0.00295056	77615	27517.4	27313.8
eraCvlowE	eraEhighE	himHE	0.00268891	0.966169	0.16698	0.0037364	47628.1	41282.5	41061
eraEhighE	eraCvlowE	hortense	0.00148361	0.849015	0.197937	0.00112819	83534.6	17328.3	17276.9
eraEhighE	eraCvlowE	telhighE	0.000363487	0.165239	0.434378	0.000306982	91253.6	19354	19339.9
eraCvlowE	eraEvlowE	eraEhighW	0.00319524	0.961396	0.168176	0.006377	64371.9	47164.8	46864.4
eraEhighW	eraEvlowW	eraCvlowE	0.000867199	1.13955	0.127237	0.00294308	79917.4	35073.5	35012.8
eraEhighW	eraCvlowE	hermathena	0.0135129	3.91068	4.60189e-05	0.0132249	68101.3	34366.8	33450.4
himHE	eraCvlowE	eraEhighW	0.00649597	1.63374	0.0511562	0.0135516	58840.4	47756.2	47139.8
eraCvlowE	eraEhighW	hortense	0.0421307	10.9938	nan	0.0402464	73225.4	22430.8	20617.1
eraCvlowE	eraEhighW	telhighE	0.0345341	9.67936	nan	0.0364203	80070.6	24771.8	23118
eraCvlowE	eraEvlowE	eraEvlowW	0.00318656	0.91148	0.181021	0.00639329	64313.9	47153.8	46854.2
eraEvlowE	eraCvlowE	hermathena	0.00416536	2.10635	0.017587	0.00330734	77323	27526.3	27298
eraEvlowE	eraCvlowE	himHE	0.00528275	1.03333	0.150724	0.0073073	47669.8	41448.2	41012.5
eraCvlowE	eraEvlowE	hortense	3.26605e-05	0.0190823	0.492388	2.49255e-05	83256.1	17321	17319.9
eraEvlowE	eraCvlowE	telhighE	0.000274875	0.143114	0.4431	0.000231867	90920.7	19332.3	19321.7
eraEvlowW	eraCvlowE	hermathena	0.0137547	3.67081	0.000120893	0.0134615	68185.5	34369.5	33436.8
himHE	eraCvlowE	eraEvlowW	0.00703233	1.73979	0.040948	0.0146762	58800	47769.5	47102.3
eraCvlowE	eraEvlowW	hortense	0.040667	9.70966	nan	0.0387926	73164.5	22389.9	20640
eraCvlowE	eraEvlowW	telhighE	0.0347613	10.1938	nan	0.0366118	80018.2	24773.9	23109.5
eraCvlowE	himHE	hermathena	0.0042716	1.35276	0.0880658	0.00349389	70552	27505.5	27271.5
eraCvlowE	hermathena	hortense	0.0326551	5.36605	4.02403e-08	0.0284133	37118.7	18378.4	17216.1
eraCvlowE	hermathena	telhighE	0.0357324	6.61184	1.89791e-11	0.0341528	40696.4	20285.7	18886
eraCvlowE	himHE	hortense	0.0177686	6.26854	1.8222e-10	0.0137457	76646.2	17420.7	16812.5
eraCvlowE	himHE	telhighE	0.0198515	7.21848	2.62859e-13	0.0170937	83584.6	19544.5	18783.6
telhighE	hortense	eraCvlowE	0.0155711	2.34243	0.00957921	0.00598537	26150	12356.8	11977.9
eraEhighW	eraCvlowW	eraEhighE	0.0224291	11.7958	nan	0.0827705	75079.4	39614.1	37876
eraEvlowE	eraEhighE	eraCvlowW	0.00532642	0.9264	0.177119	0.0122161	62947.8	47161.8	46662
eraEvlowW	eraCvlowW	eraEhighE	0.0221123	10.952	nan	0.0817552	75066	39583.8	37871.1
eraCvlowW	eraEhighE	hermathena	0.0126914	4.05982	2.45554e-05	0.0121665	69987.3	33738.1	32892.5
himHE	eraEhighE	eraCvlowW	0.0241998	8.91313	2.71051e-19	0.0561822	57458.4	48633.8	46335.6
eraEhighE	eraCvlowW	hortense	0.0337289	10.566	nan	0.0316668	75179.2	21897.7	20468.8
eraEhighE	eraCvlowW	telhighE	0.0250198	6.66925	1.28553e-11	0.0259502	82174.4	24181	23000.5
eraEhighW	eraCvlowW	eraEvlowE	0.0221984	11.0383	nan	0.0845555	75411.5	39426.7	37714.3
eraEhighW	eraEvlowW	eraCvlowW	0.000791576	0.713232	0.237851	0.0117101	41041.2	34282.6	34228.4
eraCvlowW	eraEhighW	hermathena	0.00244428	1.12157	0.131023	0.00169377	91239.7	24033.7	23916.5
eraEhighW	eraCvlowW	himHE	0.0104882	5.41344	3.09123e-08	0.0109393	73059.7	36982	36214.3
eraCvlowW	eraEhighW	hortense	0.0139514	5.88327	2.01119e-09	0.00974159	93634	15407.2	14983.2
eraCvlowW	eraEhighW	telhighE	0.0139189	7.59034	1.59534e-14	0.01075	102603	17236.7	16763.5
eraEvlowW	eraCvlowW	eraEvlowE	0.0217394	9.81119	nan	0.0832791	75427.4	39412.1	37735
eraCvlowW	eraEvlowE	hermathena	0.0120125	4.56287	2.52298e-06	0.0115171	69546.8	33722.7	32922.2
himHE	eraEvlowE	eraCvlowW	0.0189351	2.76583	0.00283894	0.0441179	57189.5	48520.5	46717.2
eraEvlowE	eraCvlowW	hortense	0.0327526	9.05285	5.42101e-20	0.0307482	74679.5	21847.3	20461.6
eraEvlowE	eraCvlowW	telhighE	0.0253095	7.07774	7.32607e-13	0.0262314	81663.1	24145.4	22953.4
eraCvlowW	eraEvlowW	hermathena	0.00203998	0.9378	0.174174	0.00141415	91310.1	24016.5	23918.7
eraEvlowW	eraCvlowW	himHE	0.0104189	4.35556	6.63632e-06	0.0108812	73102	36973.3	36210.8
eraCvlowW	eraEvlowW	hortense	0.0121096	4.01289	2.99898e-05	0.00846402	93600.7	15382.7	15014.6
eraCvlowW	eraEvlowW	telhighE	0.0143936	7.36605	8.78808e-14	0.0111344	102572	17254.9	16765.2
eraCvlowW	himHE	hermathena	0.0185616	5.34821	4.44148e-08	0.0178647	66076.8	33105.9	31899.3
hermathena	eraCvlowW	hortense	0.00679594	1.90636	0.0283019	0.00632603	36470.7	18521.3	18271.3
eraCvlowW	hermathena	telhighE	0.00426684	1.28776	0.0989156	0.00439469	39935.5	20376.9	20203.7
himHE	eraCvlowW	hortense	0.0193337	5.74748	4.52927e-09	0.0182842	71154	20838.3	20047.8
himHE	eraCvlowW	telhighE	0.0103686	2.89243	0.00191137	0.0108366	77520.3	22911.6	22441.3
telhighE	hortense	eraCvlowW	0.0255755	4.53491	2.88143e-06	0.00825149	24793.4	12477.1	11854.8
eraEvlowE	eraEhighE	eraEhighW	0.00515025	0.891148	0.186425	0.0102961	64565.9	47025.8	46543.9
eraEhighW	eraEvlowW	eraEhighE	0.000776544	0.891735	0.186267	0.00259839	79171.6	35166.3	35111.7
eraEhighW	eraEhighE	hermathena	0.0107782	3.02848	0.00122892	0.0105105	68717.9	34138.8	33410.7
himHE	eraEhighE	eraEhighW	0.0143356	6.05705	6.93184e-10	0.0298811	58728.9	48190.5	46828.3
eraEhighE	eraEhighW	hortense	0.0434375	10.6627	nan	0.0413501	73767.2	22413.1	20547
eraEhighE	eraEhighW	telhighE	0.0346326	8.42976	1.7293e-17	0.0365064	80729.1	24736.9	23080.8
eraEvlowE	eraEhighE	eraEvlowW	0.00513445	0.888932	0.18702	0.0103283	64511.1	47026.3	46545.8
eraEvlowE	eraEhighE	hermathena	0.000552992	0.369807	0.355763	0.000437416	77975.5	27307.9	27277.7
eraEvlowE	eraEhighE	himHE	0.00802989	1.04168	0.148779	0.0110509	48124.6	41331.7	40673.2
eraEhighE	eraEvlowE	hortense	0.00133471	0.689668	0.245202	0.00101123	83763.7	17262.2	17216.2
eraEhighE	eraEvlowE	telhighE	1.48481e-05	0.00766279	0.496943	1.24742e-05	91531.1	19236.8	19236.2
eraEvlowW	eraEhighE	hermathena	0.0110272	2.86476	0.00208662	0.0107562	68815.2	34139.5	33394.8
himHE	eraEhighE	eraEvlowW	0.015032	5.95403	1.30812e-09	0.0313923	58699.9	48225.2	46796.8
eraEhighE	eraEvlowW	hortense	0.0419142	9.24966	nan	0.0398595	73715	22358	20559.1
eraEhighE	eraEvlowW	telhighE	0.0348237	8.74069	1.13841e-18	0.0366763	80682	24736.1	23071.2
eraEhighE	himHE	hermathena	0.00748106	2.38791	0.00847219	0.0061084	70850.4	27573.8	27164.3
eraEhighE	hermathena	hortense	0.0343716	5.21491	9.19525e-08	0.0299296	36983.5	18443.1	17217.4
eraEhighE	hermathena	telhighE	0.0360414	6.44631	5.7303e-11	0.0345267	40595.6	20351.4	18935.4
eraEhighE	himHE	hortense	0.019187	5.84688	2.50435e-09	0.0148672	76828.8	17459.9	16802.5
eraEhighE	himHE	telhighE	0.0203006	5.93217	1.4948e-09	0.0175362	83873.5	19593.2	18813.5
telhighE	hortense	eraEhighE	0.0169118	2.77064	0.0027973	0.00644198	26192.2	12365.9	11954.6
eraEhighW	eraEvlowW	eraEvlowE	0.00105467	1.38287	0.0833524	0.00365897	79534.3	35041.2	34967.4
eraEhighW	eraEvlowE	hermathena	0.0101952	3.23456	0.000609153	0.00994694	68301.7	34127.4	33438.6
himHE	eraEvlowE	eraEhighW	0.00927646	1.39826	0.0810177	0.0194098	58482.7	48103.6	47219.3
eraEvlowE	eraEhighW	hortense	0.0421527	9.57124	nan	0.0402272	73288.2	22362.7	20553.7
eraEvlowE	eraEhighW	telhighE	0.0346311	9.26413	nan	0.0364413	80247	24683.5	23031.1
eraEvlowW	eraEhighW	hermathena	0.000215619	0.174586	0.430702	0.000137087	95159.2	21963.3	21953.9
eraEhighW	eraEvlowW	himHE	0.000377086	0.310745	0.377997	0.000358525	76820.6	33313.1	33288
eraEvlowW	eraEhighW	hortense	0.00161097	0.978044	0.164026	0.00104071	97166.5	13936.5	13891.7
eraEhighW	eraEvlowW	telhighE	0.00109424	0.519238	0.301797	0.000782299	106512	15616.7	15582.6
eraEhighW	himHE	hermathena	0.0167755	4.98003	3.17867e-07	0.0163396	65525.3	33321.3	32221.8
hermathena	eraEhighW	hortense	0.0171004	5.34841	4.43661e-08	0.0158925	36228.3	18645.3	18018.4
hermathena	eraEhighW	telhighE	0.00673954	2.15471	0.0155921	0.00694066	39717.6	20314.4	20042.4
himHE	eraEhighW	hortense	0.0294625	7.52212	2.69469e-14	0.0282084	70462.6	21251.3	20034.9
himHE	eraEhighW	telhighE	0.0205109	5.58833	1.14629e-08	0.0216775	76808.3	23373.9	22434.3
telhighE	hortense	eraEhighW	0.0276526	4.10388	2.03143e-05	0.00860245	24358.9	12450.5	11780.4
eraEvlowW	eraEvlowE	hermathena	0.0102857	3.03295	0.00121087	0.010027	68416.8	34123.3	33428.5
himHE	eraEvlowE	eraEvlowW	0.00984506	1.45398	0.0729754	0.020654	58439.7	48139.2	47200.6
eraEvlowE	eraEvlowW	hortense	0.0409961	8.48292	1.10047e-17	0.0390106	73246.7	22301.1	20544.6
eraEvlowE	eraEvlowW	telhighE	0.0349549	9.43296	nan	0.0367713	80205.3	24689.6	23021.9
eraEvlowE	himHE	hermathena	0.00838242	2.78702	0.00265974	0.00686721	70393.4	27732.2	27271.1
eraEvlowE	hermathena	hortense	0.0330486	4.98702	3.06585e-07	0.02882	36977.7	18396.9	17219.8
eraEvlowE	hermathena	telhighE	0.0361906	6.81951	4.56746e-12	0.03466	40554.9	20323.5	18903.9
eraEvlowE	himHE	hortense	0.0180588	5.3293	4.92951e-08	0.0140475	76340.5	17482.1	16861.9
eraEvlowE	himHE	telhighE	0.0200472	7.20725	2.85456e-13	0.017371	83288	19641.1	18869.1
telhighE	hortense	eraEvlowE	0.0171512	2.85211	0.00217152	0.00659469	26130.3	12340.5	11924.3
eraEvlowW	himHE	hermathena	0.0168735	4.74704	1.03207e-06	0.0164217	65541	33301	32195.8
hermathena	eraEvlowW	hortense	0.0168262	5.17752	1.12429e-07	0.0156521	36169.5	18649.8	18032.6
hermathena	eraEvlowW	telhighE	0.00790358	2.51056	0.00602704	0.0081349	39643.9	20358.7	20039.4
himHE	eraEvlowW	hortense	0.0286783	6.57183	2.48509e-11	0.02737	70386.4	21207.6	20025.1
himHE	eraEvlowW	telhighE	0.0210211	6.70414	1.01301e-11	0.0222671	76735.8	23422.3	22457.9
telhighE	hortense	eraEvlowW	0.0257	4.04082	2.66326e-05	0.00801181	24356.5	12402.7	11781.1
himHE	hermathena	hortense	0.0176598	2.67604	0.00372486	0.0150505	35558.5	17086.9	16493.8
himHE	hermathena	telhighE	0.0183937	3.78466	7.69605e-05	0.0173896	38969.4	18877	18195.1
telhighE	hortense	hermathena	0.0138915	1.49201	0.0678488	0.00370824	20519.2	8971.85	8726
telhighE	hortense	himHE	0.0176548	2.68412	0.00363606	0.00426969	24526.8	11645.9	11241.8
