P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
telhighE	clyEhighE	eraEhighE	0.0463576	8.62364	3.25261e-18	0.0185136	29054.5	14325.8	13056.4
eraEvlowE	eraEhighW	clyEhighE	0.0419658	10.4747	nan	0.0491098	78846.7	25472.6	23420.7
eraEhighW	eraEvlowW	clyEhighE	0.000222678	0.130166	0.448217	0.000177357	103886	15789.4	15782.4
hermathena	eraEhighW	clyEhighE	0.0385273	9.9292	nan	0.0430857	38965.7	21398.1	19810.4
himHE	eraEhighW	clyEhighE	0.023302	6.12067	4.65919e-10	0.027774	75350.3	24137.4	23038.1
hortense	clyEhighE	eraEhighW	0.0559233	12.5965	nan	0.0124486	28939.7	9179.41	8207.1
telhighE	clyEhighE	eraEhighW	0.0614083	12.4284	nan	0.0200118	27087.1	14488	12811.5
eraEvlowE	eraEvlowW	clyEhighE	0.0418873	9.82468	nan	0.0491166	78806.9	25451.7	23405.2
eraEvlowE	hermathena	clyEhighE	0.0107653	1.95922	0.0250435	0.0114482	39933	20143.1	19714
eraEvlowE	himHE	clyEhighE	0.0261848	10.3907	nan	0.0249578	81550.7	19987	18967
hortense	clyEhighE	eraEvlowE	0.0442627	10.0631	nan	0.0121578	30957.1	9105.11	8333.24
telhighE	clyEhighE	eraEvlowE	0.0458799	9.31552	nan	0.0185061	29016.1	14296.3	13042.1
hermathena	eraEvlowW	clyEhighE	0.0393753	11.0691	nan	0.0440217	38936.8	21418.9	19796
himHE	eraEvlowW	clyEhighE	0.0233811	5.69072	6.32523e-09	0.0279312	75299.6	24123.6	23021.3
hortense	clyEhighE	eraEvlowW	0.0544048	11.8321	nan	0.0121362	28970.3	9153.06	8208.5
telhighE	clyEhighE	eraEvlowW	0.0603871	11.8444	nan	0.0197633	27077.8	14464.7	12817.2
hermathena	himHE	clyEhighE	0.0142063	2.81296	0.00245439	0.0148453	38220.5	19138.8	18602.6
