P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
cydEhighW	melElowW	timEhighE	0.040392	5.07277	1.9603e-07	0.0779559	66504	70674.8	65187
cydEhighW	melElowW	timElowE	0.0558113	7.77753	3.69767e-15	0.102463	67934.2	71948.3	64341.7
cydEhighW	pachinus	melEvlowE	0.0019075	0.944612	0.172428	0.00192461	90610.5	39198	39048.8
melEvlowE	timEhighE	cydEhighW	0.209664	16.1789	nan	0.360755	83449.2	70525.5	46077.9
melEvlowE	timElowE	cydEhighW	0.194169	15.3798	nan	0.32937	85382.2	68778.6	46412.2
cydEhighW	pachinus	timEhighE	0.0106649	3.78045	7.82717e-05	0.0138917	72078	44188.5	43256
cydEhighW	pachinus	timElowE	0.0099231	3.68378	0.000114901	0.0122212	74130.7	43977.3	43113.1
timElowE	timEhighE	cydEhighW	0.0260101	9.04178	5.42101e-20	0.0456239	102738	43361.2	41162.7
heurippa	melChighE	melChighW	0.0294962	2.15335	0.0156455	0.0781702	76906	74438.1	70172.6
melCvlowE	melChighE	heurippa	0.054143	14.2237	nan	0.0485918	84690.1	59046.3	52980.9
heurippa	melChighE	melCvlowW	0.0369608	2.63881	0.0041599	0.130495	76796.9	74653.7	69331.9
melEhighE	melChighE	heurippa	0.00796325	2.70652	0.00339959	0.00738679	81293.4	54216.2	53359.5
heurippa	melChighE	melEhighW	0.00693437	0.491671	0.311476	0.0221129	77642.2	72386.6	71389.6
heurippa	melChighE	melElowW	0.00777642	0.562774	0.286794	0.0220311	77482.5	72537.6	71418.1
melEvlowE	melChighE	heurippa	0.0257817	9.29676	nan	0.023373	80544.4	53398.3	50714.1
melChighE	heurippa	pachinus	0.22272	15.0221	nan	0.280388	77937	71328	45343.1
heurippa	timEhighE	melChighE	0.0394193	10.277	nan	0.113326	84231.2	54239.3	50125.3
heurippa	timElowE	melChighE	0.053067	11.8301	nan	0.153684	83296.9	55570.9	49970.1
heurippa	melCvlowE	melChighW	0.0293252	2.08038	0.0187454	0.0798164	72544	76310.1	71962
melCvlowW	melChighW	heurippa	0.00623063	3.96217	3.71363e-05	0.00583489	96664.2	59956.6	59214.1
heurippa	melEhighE	melChighW	0.0275071	1.96852	0.0245041	0.0733172	73243.4	71497.3	67669.3
melChighW	melEhighW	heurippa	0.00395092	1.82648	0.0338889	0.00383555	93300.4	61548.1	61063.7
melChighW	melElowW	heurippa	0.00526579	2.53026	0.00569889	0.00512017	93174.6	61664.9	61018.9
heurippa	melEvlowE	melChighW	0.0312372	2.25385	0.0121028	0.0853685	70051.8	70863	66570
pachinus	melChighW	heurippa	0.0019179	0.171772	0.431808	0.00204697	58794.2	64611.6	64364.2
heurippa	timEhighE	melChighW	0.00741558	2.9499	0.0015894	0.0146417	93377.1	53322.9	52537.8
heurippa	timElowE	melChighW	0.0109007	4.05455	2.51155e-05	0.0216638	93123.2	54247.3	53077.4
heurippa	melCvlowE	melCvlowW	0.0381366	2.63046	0.00426352	0.138703	72287.8	76623.4	70993.8
melCvlowE	melEhighE	heurippa	0.0458456	15.5752	nan	0.0405417	82586.2	55587.8	50714.4
heurippa	melCvlowE	melEhighW	0.00149411	0.10265	0.45912	0.00490664	73653.5	73778.9	73558.7
heurippa	melCvlowE	melElowW	0.00224822	0.158203	0.437148	0.00654345	73536.2	73936.9	73605.2
melCvlowE	melEvlowE	heurippa	0.0284365	11.8435	nan	0.0248235	81923.2	52768.7	49850.6
melCvlowE	heurippa	pachinus	0.256452	18.5054	nan	0.315824	75848.2	75168.6	44483.5
heurippa	timEhighE	melCvlowE	0.0361501	12.1002	nan	0.0817521	89298.7	53040.7	49339.6
heurippa	timElowE	melCvlowE	0.0547206	13.0206	nan	0.124967	88123.7	54622.5	48954.7
heurippa	melEhighE	melCvlowW	0.034546	2.39877	0.00822514	0.123394	73178.3	71673.5	66886.8
melCvlowW	melEhighW	heurippa	0.0100229	3.86302	5.59962e-05	0.00967038	93531.5	61855.3	60627.6
melCvlowW	melElowW	heurippa	0.0112544	4.12088	1.88715e-05	0.0108736	93437.2	61994.3	60614.4
heurippa	melEvlowE	melCvlowW	0.0385779	2.69246	0.00354631	0.141659	69915.2	71049.4	65771.1
melCvlowW	pachinus	heurippa	0.00342949	0.288823	0.386358	0.00365034	58701.7	64997.6	64553.3
heurippa	timEhighE	melCvlowW	0.00642946	2.42262	0.00770454	0.0169612	94021.7	53088.6	52410.3
heurippa	timElowE	melCvlowW	0.0104745	3.80964	6.95838e-05	0.0277954	93727.6	54008.2	52888.5
heurippa	melEhighE	melEhighW	0.00282031	0.196244	0.42221	0.00908976	74082.1	69360.5	68970.3
heurippa	melEhighE	melElowW	0.00318841	0.225798	0.410679	0.00910222	73984.4	69472.7	69031.1
melEvlowE	melEhighE	heurippa	0.018912	8.26402	7.04189e-17	0.0166798	80512.8	50663.6	48782.8
melEhighE	heurippa	pachinus	0.229701	15.4286	nan	0.288077	74828.2	69232.6	43368.1
heurippa	timEhighE	melEhighE	0.0555605	16.7407	nan	0.137093	81296.4	53093.2	47503.9
heurippa	timElowE	melEhighE	0.0697438	15.4617	nan	0.17374	80368.8	54365	47276.2
melEhighW	melElowW	heurippa	0.00143472	0.756651	0.22463	0.00127192	98912.3	55761.3	55601.5
