bam.file.name,id,image.label,accession,secondary.accession,run.accession,locality,pop,pop.short,sp.short,country.short,side.short,pop.name,latitude,longitude,province,country,genus,species,subsp,sex,pheromones,altitude,sex.code,type,alt.type,size,shape,seq.round,count,mean.depth.wg.withzeros,to.use.bedassle,to.use.pbs,pca,check.pca.of.all.era.mel,path,bam.path,old.name,beagle.indiv.names
15N110.bam,15N110,15N110_d.JPG,,,,"Queremal (Rio San Juan, Vereda El Digua)",queremal,que,mel,co,w,mel.co.w.que,3.500833333,-76.75722222,,Colombia,Heliconius,melpomene,vulcanus,M,n,1500,1,ChighW,hig,NA,NA,Curran.WG.17,NA,11.3,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/15N110.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/15N110.bam,Ind21
15N111.bam,15N111,15N111_d.JPG,,,,"Queremal (Rio San Juan, Vereda El Digua)",queremal,que,era,co,w,era.co.w.que,3.500833333,-76.75722222,,Colombia,Heliconius,erato,venus,M,n,1178,1,ChighW,hig,NA,NA,Curran.WG.17,NA,7.74,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/15N111.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/15N111.bam,Ind3
15N112.bam,15N112,15N112_d.JPG,,,,"Queremal (Rio San Juan, Vereda El Digua)",queremal,que,era,co,w,era.co.w.que,3.500833333,-76.75722222,,Colombia,Heliconius,erato,venus,M,n,1178,1,ChighW,hig,NA,NA,Curran.WG.17,NA,7.25,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/15N112.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/15N112.bam,Ind4
15N113.bam,15N113,15N113_d.JPG,,,,"Queremal (Rio San Juan, Vereda El Digua)",queremal,que,era,co,w,era.co.w.que,3.500833333,-76.75722222,,Colombia,Heliconius,erato,venus,F,n,1178,1,ChighW,hig,NA,NA,Curran.WG.17,NA,7.2,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/15N113.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/15N113.bam,Ind5
15N120.bam,15N120,15N120_d.JPG,,,,"Queremal (Rio San Juan, Vereda El Digua)",queremal,que,era,co,w,era.co.w.que,3.500833333,-76.75722222,,Colombia,Heliconius,erato,venus,F,n,1178,1,ChighW,hig,NA,NA,Curran.WG.17,NA,9.16,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/15N120.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/15N120.bam,Ind6
15N121.bam,15N121,15N121_d.JPG,,,,"Queremal (Rio San Juan, Vereda El Digua)",queremal,que,era,co,w,era.co.w.que,3.500833333,-76.75722222,,Colombia,Heliconius,erato,venus,M,n,1178,1,ChighW,hig,NA,NA,Curran.WG.17,NA,9.53,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/15N121.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/15N121.bam,Ind7
15N123.bam,15N123,15N123_d.JPG,,,,"Queremal (Rio San Juan, Vereda El Digua)",queremal,que,mel,co,w,mel.co.w.que,3.500833333,-76.75722222,,Colombia,Heliconius,melpomene,vulcanus,M,n,1500,1,ChighW,hig,NA,NA,Curran.WG.17,NA,11.2,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/15N123.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/15N123.bam,Ind22
15N133.bam,15N133,15N133_d.JPG,,,,Rio Bravo - Calima,bravo,bra,mel,co,w,mel.co.w.bra,3.88399,-76.58826,,Colombia,Heliconius,melpomene,vulcanus,M,n,1159,1,ChighW,hig,NA,NA,Curran.WG.17,NA,12.74,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/15N133.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/15N133.bam,Ind23
15N143.bam,15N143,15N143_d.JPG,,,,La Elsa - Rio Digua,cauca,cau,mel,co,w,mel.co.w.cau,3.58,-76.86222,,Colombia,Heliconius,melpomene,vulcanus,M,n,346,1,ClowW,low,NA,NA,Curran.WG.17,NA,11.92,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/15N143.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/15N143.bam,Ind24
15N144.bam,15N144,15N144_d.JPG,,,,La Elsa - Rio Digua,cauca,cau,mel,co,w,mel.co.w.cau,3.58,-76.86222,,Colombia,Heliconius,melpomene,vulcanus,M,n,346,1,ClowW,low,NA,NA,Curran.WG.17,NA,11.93,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/15N144.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/15N144.bam,Ind25
15N145.bam,15N145,15N145_d.JPG,ERS4212597,SAMEA6447034 ,,Queremal,queremal,que,era,co,w,era.co.w.que,3.53199,-76.75461,,Colombia,Heliconius,erato,venus,M,N,1178,NA,ChighW,hig,NA,NA,BGI.round.4.19,,6.18,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/15N145.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/15N145.bam,Ind8
15N146.bam,15N146,15N146_d.JPG,ERS4212598,SAMEA6447035 ,,Queremal,queremal,que,era,co,w,era.co.w.que,3.53199,-76.75461,,Colombia,Heliconius,erato,venus,M,N,1178,NA,ChighW,hig,NA,NA,BGI.round.4.19,,6.37,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/15N146.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/15N146.bam,Ind9
15N151.bam,15N151,15N151_d.JPG,,,,La Elsa - Rio Digua,cauca,cau,mel,co,w,mel.co.w.cau,3.58,-76.86222,,Colombia,Heliconius,melpomene,vulcanus,M,n,346,1,ClowW,low,NA,NA,Curran.WG.17,NA,10.75,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/15N151.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/15N151.bam,Ind26
15N152.bam,15N152,15N152_d.JPG,,,,La Elsa - Rio Digua,cauca,cau,mel,co,w,mel.co.w.cau,3.58,-76.86222,,Colombia,Heliconius,melpomene,vulcanus,M,n,346,1,ClowW,low,NA,NA,Curran.WG.17,NA,11.33,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/15N152.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/15N152.bam,Ind27
15N153.bam,15N153,15N153_d.JPG,,,,La Elsa - Rio Digua,cauca,cau,mel,co,w,mel.co.w.cau,3.58,-76.86222,,Colombia,Heliconius,melpomene,vulcanus,M,n,346,1,ClowW,low,NA,NA,Curran.WG.17,NA,12.77,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/15N153.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/15N153.bam,Ind28
15N154.bam,15N154,15N154_d.JPG,,,,La Elsa - Rio Digua,cauca,cau,mel,co,w,mel.co.w.cau,3.58,-76.86222,,Colombia,Heliconius,melpomene,vulcanus,M,n,346,1,ClowW,low,NA,NA,Curran.WG.17,NA,11.79,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/15N154.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/15N154.bam,Ind29
15N156.bam,15N156,15N156_d.JPG,,,,La Elsa - Rio Digua,cauca,cau,mel,co,w,mel.co.w.cau,3.58,-76.86222,Valle del Cauca,Colombia,Heliconius,melpomene,vulcanus,M,n,346,0,ClowW,low,NA,NA,JE.NN.novogene.18,,30.97,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/15N156.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/15N156.bam,Ind30
15N172.bam,15N172,15N172_d.JPG,,,,Rio Bravo 3,bravo,bra,mel,co,w,mel.co.w.bra,3.88647,-76.58866,,Colombia,Heliconius,melpomene,vulcanus,M,n,1191,1,ChighW,hig,NA,NA,Curran.WG.17,NA,11.07,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/15N172.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/15N172.bam,Ind31
15N192.bam,15N192,15N192_d.JPG,,,,San Pedro 1,pedro,ped,era,co,w,era.co.w.ped,3.83691,-77.25734,,Colombia,Heliconius,erato,venus,M,n,4,1,CvlowW,vlo,NA,NA,Curran.WG.17,NA,8.16,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/15N192.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/15N192.bam,Ind10
15N193.bam,15N193,15N193_d.JPG,,,,San Pedro 1,pedro,ped,era,co,w,era.co.w.ped,3.83691,-77.25734,,Colombia,Heliconius,erato,venus,F,n,4,1,CvlowW,vlo,NA,NA,Curran.WG.17,NA,8.22,yes,yes,,NA,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/rmmt.rmd.bam/15N193.rmmt.rmd.bam,/home/mgm49/rds/rds-cj107-jiggins-rds/projects/mgm49/all.bams/15N193.bam,Ind11
