id.joana,cam.id,type,species,pop.me,accession,altitude,alt.type,side,type.gmk,mean.depth.wg.withzeros,seq.round,subsp,in.tree,in.tree.supp,in.main.tree
CAM040435,CAM040435,eraEvlowE,erato,era.ec.e.yas,ERS4212698,230,low,east,EvlowE,18.32,Novo.Ec.dec17,lativitta,yes,yes,yes
CAM040436,CAM040436,eraEvlowE,erato,era.ec.e.yas,ERS4212699,230,low,east,EvlowE,16.65,Novo.Ec.dec17,lativitta,yes,yes,
CAM040437,CAM040437,eraEvlowE,erato,era.ec.e.yas,ERS4212700,230,low,east,EvlowE,16.23,Novo.Ec.dec17,lativitta,yes,yes,
CAM040438,CAM040438,eraEvlowE,erato,era.ec.e.yas,ERS4212701,230,low,east,EvlowE,16.83,Novo.Ec.dec17,lativitta,yes,yes,
CAM120589,CAM120589,eraEvlowE,erato,era.ec.e.a,ERS4201898,230,low,east,EvlowE,12.45,BGI.round.2.17,lativitta,yes,yes,
SHM000340,SHM000340,eraEvlowE,erato,era.ec.e.yas,ERS4201905,230,low,east,EvlowE,8.73,BGI.round.2.17,lativitta,yes,yes,
SHM000341,SHM000341,eraEvlowE,erato,era.ec.e.yas,ERS4201906,230,low,east,EvlowE,14.12,BGI.round.2.17,lativitta,yes,yes,
CAM040834,CAM040834,eraEvlowW,erato,era.ec.w.ton,ERS4212681,77,low,west,EvlowW,16.76,Novo.Ec.dec17,cyrbia,yes,yes,
CAM040835,CAM040835,eraEvlowW,erato,era.ec.w.ton,ERS4212682,77,low,west,EvlowW,18.6,Novo.Ec.dec17,cyrbia,yes,yes,
CAM040842,CAM040842,eraEvlowW,erato,era.ec.w.ton,ERS4212684,77,low,west,EvlowW,17,Novo.Ec.dec17,cyrbia,yes,yes,
CAM040850,CAM040850,eraEvlowW,erato,era.ec.w.ton,ERS4212685,77,low,west,EvlowW,17.71,Novo.Ec.dec17,cyrbia,yes,yes,
CAM040852,CAM040852,eraEvlowW,erato,era.ec.w.ton,ERS4212686,77,low,west,EvlowW,16.84,Novo.Ec.dec17,cyrbia,yes,yes,
CAM040853,CAM040853,eraEvlowW,erato,era.ec.w.ton,ERS4212687,77,low,west,EvlowW,17.82,Novo.Ec.dec17,cyrbia,yes,yes,
CAM040854,CAM040854,eraEvlowW,erato,era.ec.w.ton,ERS4212688,77,low,west,EvlowW,16.77,Novo.Ec.dec17,cyrbia,yes,yes,
CAM040860,CAM040860,eraEvlowW,erato,era.ec.w.ton,ERS4212690,77,low,west,EvlowW,17.12,Novo.Ec.dec17,cyrbia,yes,yes,
CAM040861,CAM040861,eraEvlowW,erato,era.ec.w.ton,ERS4212691,77,low,west,EvlowW,18.66,Novo.Ec.dec17,cyrbia,yes,yes,yes
SRR4032005,,eraNHE,erato,,,,high,east,EhighE,,,notabilis,yes,yes,
SRR4032012,,eraNHE,erato,,,,high,east,EhighE,,,notabilis,yes,yes,
SRR4032013,,eraNHE,erato,,,,high,east,EhighE,,,notabilis,yes,yes,
SRR4032042,,eraNHE,erato,,,,high,east,EhighE,,,notabilis,yes,yes,
SRR4032089,,eraNHE,erato,,,,high,east,EhighE,,,notabilis,yes,yes,
SRR4032090,,eraNHE,erato,,,,high,east,EhighE,,,notabilis,yes,yes,
SRR4032091,,eraNHE,erato,,,,high,east,EhighE,,,notabilis,yes,yes,
SRR4032092,,eraNHE,erato,,,,high,east,EhighE,,,notabilis,yes,yes,
SRR4032097,,eraNHE,erato,,,,high,east,EhighE,,,notabilis,yes,yes,
SRR4032038,,himHE,himera,,,,high,east,ElowE,,,,yes,yes,yes
SRR4032039,,himHE,himera,,,,high,east,ElowE,,,,yes,yes,
SRR4032040,,himHE,himera,,,,high,east,ElowE,,,,yes,yes,
SRR4032041,,himHE,himera,,,,high,east,ElowE,,,,yes,yes,
SRR6313531,BC_2570 ,himLE,himera,,,350,high,east,ElowE,,,,yes,yes,
SRR6313532,,himLE,himera,,,,high,east,ElowE,,,,yes,yes,
SRR6313541,,himLE,himera,,,,high,east,ElowE,,,,yes,yes,
SRR6313542,,himLE,himera,,,,high,east,ElowE,,,,yes,yes,
CAM040276,CAM040276,telhighE,telesiphe,,,,high,east,,,,,yes,yes,yes
CAM040320,CAM040320,telhighE,telesiphe,,,,high,east,,,,,yes,yes,
CAM040736,CAM040736,telhighE,telesiphe,,,,high,east,,,,,yes,yes,
CAM041045,CAM041045,telhighE,telesiphe,,,,high,east,,,,,yes,yes,
CAM041105,CAM041105,telhighE,telesiphe,,,,high,east,,,,,yes,yes,
CAM041106,CAM041106,telhighE,telesiphe,,,,high,east,,,,,yes,yes,
CAM041107,CAM041107,telhighE,telesiphe,,,,high,east,,,,,yes,yes,
CAM041108,CAM041108,telhighE,telesiphe,,,,high,east,,,,,yes,yes,
CAM041109,CAM041109,telhighE,telesiphe,,,,high,east,,,,,yes,yes,
CAM041110,CAM041110,telhighE,telesiphe,,,,high,east,,,,,yes,yes,
SRR4032081,,telhighE,telesiphe,,,,high,east,,,,,yes,yes,
SRR8883900,,telPeru,telesiphe,,,,high,east,,,,,yes,yes,
SRR4032054,,hortenseElSalvador,hortense,,,,high,,,,,,yes,,
