"era.co.w.ama" "era.co.w.lad" "era.co.w.ped" "era.co.w.que" "era.ec.w.min" "era.ec.w.pac" "era.ec.w.pue" "era.ec.w.ton" "era.ec.w.tor"
"era.co.w.ama" 0 189.895773125122 203.924225751737 263.446090565492 735.470872437856 714.03800760393 724.665149780479 696.951528089815 700.86633080555
"era.co.w.lad" 189.895773125122 0 20.2677517921232 93.885567264458 565.893723849254 544.460859015328 555.088001191877 527.374379501214 531.289182216948
"era.co.w.ped" 203.924225751737 20.2677517921232 0 78.9934164711563 551.001573055953 529.568708222026 540.195850398576 512.482228707912 516.397031423647
"era.co.w.que" 263.446090565492 93.885567264458 78.9934164711563 0 508.610173706137 487.177308872211 497.806285204924 470.102916828685 474.006528345527
"era.ec.w.min" 735.470872437856 565.893723849254 551.001573055953 508.610173706137 0 26.5465931470671 57.2423690823474 155.126707656997 36.7763038215323
"era.ec.w.pac" 714.03800760393 544.460859015328 529.568708222026 487.177308872211 26.5465931470671 0 54.9763830091135 148.751579070533 23.851136938392
"era.ec.w.pue" 724.665149780479 555.088001191877 540.195850398576 497.806285204924 57.2423690823474 54.9763830091135 0 109.092665707446 36.0596401497052
"era.ec.w.ton" 696.951528089815 527.374379501214 512.482228707912 470.102916828685 155.126707656997 148.751579070533 109.092665707446 0 124.902150516562
"era.ec.w.tor" 700.86633080555 531.289182216948 516.397031423647 474.006528345527 36.7763038215323 23.851136938392 36.0596401497052 124.902150516562 0
